# time(s) T(K) rho(g/cm^3) p_central(dyne/cm^2) epsilon_nuc epsilon_nu epsilon_gravity cv  t_heat t_dyn X_c12 X_o16 X_p X_he4 X_ne20 X_na23 X_mg24
0.000000e+00 6.999952e+05 4.265000e+08 1.544210e+26 0.000000e+00 0.000000e+00 6.139770e+11 2.074639e+07 0.000000e+00 1.874294e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.981591e+03 3.109386e+08 4.26500000e+08 1.560189e+26 0.000000e+00 0.000000e+00 2.829032e+11  9.102103e+062.252159e+01 1.874294e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.008144e+04 3.131281e+08 4.29691109e+08 1.560354e+26 -4.826772e+00 8.570681e+04 2.785580e+11  1.270353e+071.418024e+04 1.867321e-01 5.000000e-01 5.000000e-01 9.889916e-21 4.964690e-20 2.501321e-19 2.274681e-19 8.799705e-29
2.006303e+04 1.492802e+08 4.29723970e+08 1.579140e+26 -6.264374e+00 9.067931e+04 -2.089443e+11  1.272886e+071.907572e+04 1.867249e-01 5.000000e-01 5.000000e-01 1.322399e-18 3.366906e-18 3.514846e-17 3.041518e-17 9.975623e-23
3.004463e+04 2.855477e+09 4.33598026e+08 1.617197e+26 2.088626e-06 3.225207e+01 2.933876e+12  1.082137e+075.506082e+02 1.858889e-01 5.000000e-01 5.000000e-01 1.322399e-18 3.366883e-18 3.514846e-17 3.041518e-17 9.976452e-23
