# time(s) T(K) rho(g/cm^3) p_central(dyne/cm^2) epsilon_nuc epsilon_nu epsilon_gravity cv  t_heat t_dyn X_c12 X_o16 X_p X_he4 X_ne20 X_na23 X_mg24
0.000000e+00 6.999952e+05 2.423000e+08 7.188242e+25 0.000000e+00 0.000000e+00 9.657698e+11 2.325598e+07 0.000000e+00 2.486683e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.981591e+03 9.786734e+08 2.42300000e+08 7.214219e+25 0.000000e+00 0.000000e+00 8.919747e+11  9.103854e+067.144434e+00 2.486683e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000407e+04 1.644694e+09 2.42908194e+08 7.214220e+25 7.161774e+14 5.736005e+07 8.874880e+11  2.420224e+073.303201e+01 2.483568e-01 4.633963e-01 4.773675e-01 5.828644e-08 8.320296e-07 5.681278e-02 1.340588e-06 2.421189e-03
