# time(s) T(K) rho(g/cm^3) p_central(dyne/cm^2) epsilon_nuc epsilon_nu epsilon_gravity cv  t_heat t_dyn X_c12 X_o16 X_p X_he4 X_ne20 X_na23 X_mg24
0.000000e+00 6.999952e+05 1.558000e+08 3.943311e+25 0.000000e+00 0.000000e+00 6.018069e+08 2.561675e+07 0.000000e+00 3.101083e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.981591e+03 1.367295e+06 1.55800000e+08 3.943536e+25 0.000000e+00 0.000000e+00 6.087306e+08  9.105498e+061.047065e+04 3.101083e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.996318e+04 2.041317e+06 1.55806360e+08 3.943761e+25 -6.715864e-274 0.000000e+00 6.156047e+08  9.116497e+062.024829e+04 3.101020e-01 5.000000e-01 5.000000e-01 1.321291e-292 7.170858e-292 3.585429e-291 3.038970e-291 1.625118e-302
2.994477e+04 2.722035e+06 1.55812720e+08 3.943986e+25 -7.632263e-233 0.000000e+00 6.224785e+08  9.127606e+062.993249e+04 3.100957e-01 5.000000e-01 5.000000e-01 1.503580e-251 8.141363e-251 4.070681e-250 3.458233e-250 4.900325e-280
3.992636e+04 3.409424e+06 1.55819080e+08 3.944211e+25 -1.405729e-206 0.000000e+00 6.293520e+08  9.138829e+063.952670e+04 3.100893e-01 5.000000e-01 5.000000e-01 2.772279e-225 1.498316e-224 7.491581e-224 6.376242e-224 9.777362e-261
4.990796e+04 4.103460e+06 1.55825439e+08 3.944436e+25 -1.011124e-187 0.000000e+00 6.362252e+08  9.150159e+064.903417e+04 3.100830e-01 5.000000e-01 5.000000e-01 1.995870e-206 1.076999e-205 5.384997e-205 4.590502e-205 8.839956e-245
5.988955e+04 4.804117e+06 1.55831799e+08 3.944661e+25 -3.095037e-173 0.000000e+00 6.430980e+08  9.161599e+065.845806e+04 3.100767e-01 5.000000e-01 5.000000e-01 6.114184e-192 3.294740e-191 1.647370e-190 1.406262e-190 1.944042e-231
6.987114e+04 5.511371e+06 1.55838159e+08 3.944886e+25 -1.339537e-161 0.000000e+00 6.499704e+08  9.173148e+066.780136e+04 3.100703e-01 5.000000e-01 5.000000e-01 2.648116e-180 1.425213e-179 7.126067e-179 6.090666e-179 4.333770e-220
7.985273e+04 6.225195e+06 1.55844519e+08 3.945111e+25 -5.964784e-152 0.000000e+00 6.568426e+08  9.184806e+067.706698e+04 3.100640e-01 5.000000e-01 5.000000e-01 1.179939e-170 6.343222e-170 3.171611e-169 2.713860e-169 2.779824e-210
8.983432e+04 6.945564e+06 1.55850879e+08 3.945336e+25 -9.293399e-144 0.000000e+00 6.637143e+08  9.196571e+068.625766e+04 3.100577e-01 5.000000e-01 5.000000e-01 1.839502e-162 9.878603e-162 4.939302e-161 4.230855e-161 1.088823e-201
9.981591e+04 7.672452e+06 1.55857239e+08 3.945561e+25 -1.131583e-136 0.000000e+00 6.705858e+08  9.208444e+069.537606e+04 3.100514e-01 5.000000e-01 5.000000e-01 2.241069e-155 1.202337e-154 6.011684e-154 5.154459e-154 4.515115e-194
1.097975e+05 8.405835e+06 1.55863599e+08 3.945786e+25 -1.872860e-130 0.000000e+00 6.774569e+08  9.220424e+061.044247e+05 3.100450e-01 5.000000e-01 5.000000e-01 3.711100e-149 1.989185e-148 9.945923e-148 8.535529e-148 2.988122e-187
1.197791e+05 9.145685e+06 1.55869958e+08 3.946011e+25 -6.260629e-125 0.000000e+00 6.843277e+08  9.232511e+061.134061e+05 3.100387e-01 5.000000e-01 5.000000e-01 1.241172e-143 6.647033e-143 3.323517e-142 2.854695e-142 4.313002e-181
1.297607e+05 9.891978e+06 1.55876318e+08 3.946236e+25 -5.661705e-120 0.000000e+00 6.911981e+08  9.244704e+061.223226e+05 3.100324e-01 5.000000e-01 5.000000e-01 1.122973e-138 6.009076e-138 3.004538e-137 2.582837e-137 1.729657e-175
1.397423e+05 1.064469e+07 1.55882678e+08 3.946461e+25 -1.728210e-115 0.000000e+00 6.980682e+08  9.257003e+061.311764e+05 3.100261e-01 5.000000e-01 5.000000e-01 3.429439e-134 1.833668e-133 9.168340e-133 7.887710e-133 2.332590e-170
